日志等级:INFO || 时间:2025-07-02 22:57:47,003 || 消息:待处理文件列表: ['test.csv', 'train.csv']
日志等级:INFO || 时间:2025-07-02 22:57:47,003 || 消息:========== 开始处理文件: ./Original_Data\test.csv ==========
日志等级:INFO || 时间:2025-07-02 22:57:48,439 || 消息:文件加载成功，共 1000623 行数据。
日志等级:INFO || 时间:2025-07-02 22:57:48,528 || 消息:已删除天气相关列。
日志等级:INFO || 时间:2025-07-02 22:57:48,870 || 消息:删除了 21909 行包含 '?' 的数据。剩余 978714 行。
日志等级:INFO || 时间:2025-07-02 22:57:50,431 || 消息:已将数值列转换并填充空值。
日志等级:INFO || 时间:2025-07-02 22:57:50,595 || 消息:数据已按天聚合，生成 695 条日度数据。
日志等级:INFO || 时间:2025-07-02 22:57:50,595 || 消息:已删除 8 条总功耗为0的日度数据。剩余 687 条。
日志等级:INFO || 时间:2025-07-02 22:57:50,600 || 消息:已根据公式计算并新增 sub_metering_remainder 列。
日志等级:INFO || 时间:2025-07-02 22:57:50,601 || 消息:已将所有浮点数四舍五入至三位小数。
日志等级:INFO || 时间:2025-07-02 22:57:50,609 || 消息:处理完成！结果已成功保存到文件: ../data\test.csv

日志等级:INFO || 时间:2025-07-02 22:57:50,609 || 消息:========== 开始处理文件: ./Original_Data\train.csv ==========
日志等级:INFO || 时间:2025-07-02 22:57:52,134 || 消息:文件加载成功，共 1074637 行数据。
日志等级:INFO || 时间:2025-07-02 22:57:52,237 || 消息:已删除天气相关列。
日志等级:INFO || 时间:2025-07-02 22:57:52,645 || 消息:删除了 4070 行包含 '?' 的数据。剩余 1070567 行。
日志等级:INFO || 时间:2025-07-02 22:57:53,126 || 消息:删除了 1 行无效时间戳的数据。剩余 1070566 行。
日志等级:INFO || 时间:2025-07-02 22:57:54,910 || 消息:已将数值列转换并填充空值。
日志等级:INFO || 时间:2025-07-02 22:57:55,096 || 消息:数据已按天聚合，生成 747 条日度数据。
日志等级:INFO || 时间:2025-07-02 22:57:55,097 || 消息:已删除 1 条总功耗为0的日度数据。剩余 746 条。
日志等级:INFO || 时间:2025-07-02 22:57:55,097 || 消息:已根据公式计算并新增 sub_metering_remainder 列。
日志等级:INFO || 时间:2025-07-02 22:57:55,098 || 消息:已将所有浮点数四舍五入至三位小数。
日志等级:INFO || 时间:2025-07-02 22:57:55,105 || 消息:处理完成！结果已成功保存到文件: ../data\train.csv

